Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 1000
COST TIME: 101.28003025054932
Dataset name: bdd
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    85.8    0.9       0.9   22.5     0.1     0.1
 1                1    38.0    0.5       0.6    1.3     0.9     0.8
 2                2    74.5    0.9       0.8   15.6     0.1     0.2
 3                3    11.8    0.4       0.1    0.2     1.3     6.1
 4                4    29.1    0.5       0.4    0.5     0.9     1.5
 5                5    40.0    0.5       0.7    0.5     1.0     0.5
 6                6    42.0    0.6       0.6    0.1     0.8     0.6
 7                7    31.5    0.4       0.7    0.1     1.8     0.3
 8                8    75.2    0.8       0.9   14.5     0.2     0.1
 9                9    32.5    0.6       0.4    0.7     0.6     1.5
10               10    86.8    0.9       0.9   19.0     0.1     0.1
11               11    60.6    0.7       0.8    0.2     0.4     0.2
12               12    28.9    0.4       0.5    0.0     1.3     1.1
13               13    81.4    0.9       0.9    9.8     0.1     0.2
14               14    23.6    0.4       0.3    0.5     1.3     1.9
15               15    10.7    0.1       0.7    0.1     7.9     0.4
16               16     0.0    0.0       0.0    0.0     inf     inf
17               17    39.5    0.5       0.7    0.0     1.0     0.5
18               18    29.2    0.3       0.8    0.0     2.2     0.2
acc=0.856591, acc_cls=0.550446, mean_iu=0.432122, fwavacc=0.770291
