Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 500
COST TIME: 105.97318410873413
Dataset name: cityscapes
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    85.4    0.9       0.9   33.7     0.1     0.1
 1                1    41.0    0.6       0.6    3.3     0.7     0.8
 2                2    79.6    0.9       0.8   20.8     0.1     0.2
 3                3    28.8    0.5       0.4    0.4     1.1     1.4
 4                4    25.6    0.4       0.5    0.3     1.8     1.1
 5                5    37.0    0.4       0.8    0.6     1.4     0.3
 6                6    43.2    0.5       0.8    0.1     1.1     0.2
 7                7    23.9    0.2       0.9    0.2     3.0     0.1
 8                8    86.3    0.9       0.9   16.4     0.1     0.1
 9                9    35.4    0.5       0.5    0.4     1.0     0.8
10               10    81.4    0.9       0.9    3.0     0.1     0.1
11               11    68.8    0.8       0.8    1.1     0.2     0.3
12               12    24.4    0.3       0.5    0.1     2.0     1.1
13               13    87.4    0.9       0.9    6.0     0.1     0.1
14               14    34.4    0.6       0.4    0.2     0.6     1.3
15               15    32.7    0.4       0.7    0.1     1.6     0.5
16               16     1.3    0.0       0.9    0.0    74.9     0.1
17               17    32.9    0.5       0.5    0.0     1.1     0.9
18               18    31.0    0.3       0.9    0.2     2.1     0.1
acc=0.868962, acc_cls=0.563514, mean_iu=0.463577, fwavacc=0.781218
