Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 6382
COST TIME: 2127.00981426239
Dataset name: g
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    95.6    1.0       1.0   31.8     0.0     0.0
 1                1    85.7    0.9       0.9   10.3     0.1     0.1
 2                2    90.1    0.9       1.0   20.4     0.1     0.1
 3                3    56.6    0.7       0.7    1.4     0.4     0.4
 4                4    33.9    0.5       0.5    0.2     1.1     0.8
 5                5    66.6    0.8       0.8    0.9     0.3     0.2
 6                6    65.4    0.8       0.8    0.1     0.3     0.2
 7                7    63.6    0.8       0.8    0.0     0.3     0.3
 8                8    85.7    0.9       0.9    9.2     0.1     0.1
 9                9    74.1    0.8       0.9    2.2     0.2     0.2
10               10    96.2    1.0       1.0   13.9     0.0     0.0
11               11    76.4    0.8       0.9    0.4     0.2     0.1
12               12    67.1    0.8       0.9    0.0     0.3     0.2
13               13    92.0    1.0       1.0    2.5     0.0     0.0
14               14    88.7    0.9       0.9    1.2     0.1     0.1
15               15    93.5    1.0       1.0    0.2     0.0     0.0
16               16     0.1    0.0       0.0    0.0    22.4   954.0
17               17    73.9    0.9       0.8    0.0     0.1     0.2
18               18    60.5    0.8       0.7    0.0     0.3     0.3
acc=0.946382, acc_cls=0.805021, mean_iu=0.718840, fwavacc=0.902221
