Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 2000
COST TIME: 456.33312916755676
Dataset name: mapillary
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    82.6    0.9       0.9   21.1     0.2     0.1
 1                1    42.2    0.6       0.6    2.7     0.6     0.8
 2                2    75.6    0.9       0.8   11.1     0.1     0.3
 3                3    19.0    0.5       0.2    0.3     1.2     3.1
 4                4    30.2    0.4       0.5    0.5     1.3     1.0
 5                5    43.1    0.5       0.8    0.7     1.1     0.2
 6                6    46.6    0.5       0.8    0.1     0.9     0.2
 7                7    52.9    0.6       0.9    0.3     0.8     0.1
 8                8    79.4    0.8       0.9   12.7     0.2     0.1
 9                9    43.5    0.8       0.5    0.9     0.2     1.1
10               10    93.6    1.0       1.0   34.0     0.0     0.0
11               11    65.1    0.8       0.7    0.3     0.2     0.4
12               12    19.6    0.2       0.6    0.0     3.4     0.7
13               13    85.3    0.9       0.9    3.1     0.1     0.1
14               14    41.1    0.6       0.6    0.2     0.6     0.8
15               15    22.8    0.3       0.7    0.1     2.9     0.5
16               16     7.9    0.1       0.4    0.0    10.3     1.4
17               17    37.4    0.4       0.7    0.0     1.2     0.4
18               18    30.3    0.3       0.8    0.0     2.1     0.2
acc=0.881379, acc_cls=0.591562, mean_iu=0.483287, fwavacc=0.807543
