Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 2820
COST TIME: 278.2406349182129
Dataset name: synthia
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    93.7    1.0       1.0   18.3     0.0     0.0
 1                1    92.2    1.0       1.0   19.1     0.0     0.0
 2                2    94.7    1.0       1.0   29.3     0.0     0.0
 3                3    80.2    0.9       0.9    0.2     0.1     0.1
 4                4    69.5    0.9       0.8    0.2     0.1     0.3
 5                5    63.3    0.7       0.8    0.8     0.4     0.2
 6                6    57.0    0.8       0.7    0.0     0.3     0.5
 7                7    51.7    0.7       0.7    0.1     0.4     0.5
 8                8    82.4    0.9       0.9   10.0     0.1     0.1
 9                9     nan    nan       nan    0.0     nan     nan
10               10    96.2    1.0       1.0    6.9     0.0     0.0
11               11    77.9    0.9       0.9    3.9     0.1     0.1
12               12    60.3    0.8       0.7    0.4     0.3     0.4
13               13    89.1    0.9       0.9    3.9     0.1     0.1
14               14     nan    nan       nan    0.0     nan     nan
15               15    90.2    1.0       0.9    1.6     0.0     0.1
16               16     nan    nan       nan    0.0     nan     nan
17               17    63.2    0.8       0.7    0.2     0.2     0.4
18               18    36.3    0.5       0.6    0.1     1.0     0.8
acc=0.950460, acc_cls=0.854951, mean_iu=0.748710, fwavacc=0.908581
