Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 1000
COST TIME: 101.47298240661621
Dataset name: bdd
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    86.7    0.9       0.9   22.9     0.1     0.1
 1                1    38.9    0.5       0.6    1.2     0.9     0.6
 2                2    73.9    0.9       0.8   15.2     0.1     0.2
 3                3    12.6    0.5       0.1    0.2     1.1     5.8
 4                4    25.7    0.4       0.4    0.4     1.2     1.6
 5                5    39.9    0.5       0.6    0.6     0.9     0.6
 6                6    34.7    0.5       0.6    0.1     1.1     0.7
 7                7    26.6    0.3       0.7    0.1     2.3     0.5
 8                8    73.3    0.8       0.9   14.4     0.2     0.1
 9                9    32.0    0.6       0.4    0.7     0.6     1.5
10               10    85.6    0.9       0.9   19.1     0.1     0.1
11               11    48.3    0.7       0.6    0.2     0.5     0.6
12               12    13.5    0.3       0.2    0.0     2.4     4.0
13               13    81.1    0.9       0.9    9.6     0.1     0.1
14               14    24.9    0.5       0.3    0.6     1.0     2.0
15               15    14.0    0.1       0.8    0.1     5.9     0.3
16               16     0.0    0.0       0.0    0.0     inf     inf
17               17    33.6    0.6       0.5    0.0     0.8     1.2
18               18    23.5    0.3       0.8    0.0     3.0     0.3
acc=0.853042, acc_cls=0.537456, mean_iu=0.404712, fwavacc=0.765291
