Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 500
COST TIME: 104.66402459144592
Dataset name: cityscapes
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    86.9    0.9       0.9   34.5     0.1     0.1
 1                1    37.8    0.5       0.6    2.9     0.9     0.8
 2                2    81.2    0.9       0.9   20.3     0.1     0.2
 3                3    28.9    0.5       0.4    0.4     1.0     1.5
 4                4    26.9    0.4       0.5    0.3     1.6     1.1
 5                5    36.9    0.4       0.7    0.6     1.3     0.4
 6                6    35.1    0.4       0.8    0.1     1.6     0.3
 7                7    25.2    0.3       0.9    0.2     2.8     0.2
 8                8    83.7    0.9       0.9   16.4     0.1     0.1
 9                9    36.2    0.6       0.5    0.5     0.8     1.0
10               10    78.5    0.9       0.8    3.1     0.1     0.2
11               11    63.9    0.8       0.8    1.0     0.3     0.3
12               12    30.4    0.4       0.6    0.1     1.7     0.6
13               13    84.1    0.9       0.9    5.8     0.1     0.1
14               14    24.8    0.7       0.3    0.2     0.4     2.6
15               15    28.1    0.3       0.7    0.1     2.1     0.5
16               16    12.1    0.1       0.9    0.0     7.1     0.1
17               17    19.3    0.3       0.3    0.0     2.1     2.1
18               18    17.9    0.2       0.9    0.1     4.4     0.2
acc=0.866541, acc_cls=0.552089, mean_iu=0.441046, fwavacc=0.779277
