Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 2000
COST TIME: 448.5311529636383
Dataset name: mapillary
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    79.6    0.8       0.9   20.3     0.2     0.1
 1                1    40.2    0.6       0.5    2.7     0.6     0.9
 2                2    73.3    0.9       0.8   10.8     0.1     0.3
 3                3    16.7    0.5       0.2    0.4     1.0     4.0
 4                4    28.6    0.4       0.5    0.4     1.4     1.1
 5                5    43.9    0.5       0.8    0.7     1.0     0.3
 6                6    42.0    0.5       0.8    0.1     1.1     0.3
 7                7    52.7    0.6       0.9    0.3     0.8     0.1
 8                8    76.3    0.8       0.9   12.4     0.2     0.1
 9                9    38.2    0.8       0.4    0.9     0.2     1.4
10               10    92.0    1.0       1.0   33.6     0.0     0.1
11               11    58.0    0.8       0.7    0.2     0.3     0.5
12               12    24.4    0.3       0.7    0.0     2.6     0.5
13               13    81.4    0.9       0.9    2.9     0.2     0.1
14               14    29.4    0.7       0.3    0.3     0.4     2.0
15               15    16.8    0.2       0.7    0.0     4.5     0.4
16               16    13.0    0.2       0.4    0.0     5.2     1.5
17               17    35.2    0.4       0.7    0.0     1.3     0.5
18               18    25.2    0.3       0.8    0.0     2.7     0.2
acc=0.862124, acc_cls=0.587627, mean_iu=0.456182, fwavacc=0.783214
