Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 1000
COST TIME: 96.455974817276
Dataset name: bdd
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    91.9    1.0       1.0   24.1     0.0     0.1
 1                1    50.0    0.6       0.8    1.3     0.8     0.2
 2                2    82.4    0.9       0.9   15.7     0.1     0.1
 3                3    20.7    0.6       0.2    0.2     0.7     3.1
 4                4    40.7    0.5       0.7    0.4     1.1     0.3
 5                5    51.7    0.7       0.7    0.7     0.5     0.4
 6                6    44.0    0.5       0.8    0.1     1.0     0.3
 7                7    39.8    0.5       0.7    0.1     1.2     0.4
 8                8    83.4    0.9       0.9   16.5     0.1     0.1
 9                9    43.3    0.6       0.6    0.7     0.6     0.7
10               10    93.4    0.9       1.0   19.7     0.1     0.0
11               11    65.1    0.8       0.8    0.2     0.3     0.2
12               12    31.6    0.7       0.4    0.0     0.4     1.7
13               13    86.4    1.0       0.9   10.0     0.0     0.1
14               14    39.9    0.5       0.7    0.6     1.0     0.5
15               15    58.8    0.7       0.7    0.5     0.3     0.4
16               16     0.0    0.0       0.0    0.0     inf     inf
17               17    37.3    0.8       0.4    0.0     0.2     1.4
18               18    51.5    0.7       0.7    0.0     0.5     0.4
acc=0.910473, acc_cls=0.669039, mean_iu=0.532544, fwavacc=0.845536
