Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 500
COST TIME: 102.90120768547058
Dataset name: cityscapes
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    92.1    1.0       0.9   36.5     0.0     0.1
 1                1    50.0    0.6       0.7    3.3     0.6     0.3
 2                2    87.7    0.9       0.9   20.8     0.1     0.1
 3                3    40.4    0.6       0.6    0.4     0.7     0.8
 4                4    33.6    0.4       0.6    0.3     1.4     0.6
 5                5    51.0    0.6       0.8    0.9     0.7     0.3
 6                6    51.9    0.6       0.9    0.1     0.8     0.1
 7                7    47.5    0.5       0.9    0.3     1.0     0.1
 8                8    89.5    1.0       0.9   16.7     0.0     0.1
 9                9    39.8    0.5       0.7    0.4     1.0     0.5
10               10    92.9    1.0       1.0    3.3     0.0     0.0
11               11    76.4    0.9       0.9    1.1     0.1     0.2
12               12    52.8    0.7       0.7    0.1     0.5     0.4
13               13    91.3    0.9       1.0    6.2     0.1     0.0
14               14    61.5    0.8       0.7    0.2     0.2     0.4
15               15    55.2    0.9       0.6    0.3     0.2     0.7
16               16     0.0    0.0       0.3    0.0   30341.6     2.9
17               17    31.1    0.8       0.3    0.1     0.2     2.0
18               18    55.5    0.6       0.9    0.4     0.7     0.1
acc=0.915643, acc_cls=0.693765, mean_iu=0.579059, fwavacc=0.851731
