Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 6382
COST TIME: 2122.995025873184
Dataset name: gtav
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    95.9    1.0       1.0   31.9     0.0     0.0
 1                1    86.4    0.9       0.9   10.3     0.1     0.1
 2                2    90.8    0.9       1.0   20.5     0.1     0.0
 3                3    57.9    0.7       0.7    1.3     0.4     0.4
 4                4    36.4    0.5       0.6    0.2     1.1     0.6
 5                5    70.3    0.8       0.8    1.0     0.2     0.2
 6                6    69.8    0.8       0.9    0.1     0.3     0.2
 7                7    68.9    0.8       0.9    0.0     0.3     0.2
 8                8    86.6    0.9       0.9    9.3     0.1     0.1
 9                9    76.2    0.8       0.9    2.2     0.2     0.1
10               10    96.5    1.0       1.0   14.0     0.0     0.0
11               11    78.2    0.8       0.9    0.4     0.2     0.1
12               12    76.8    0.8       0.9    0.0     0.2     0.1
13               13    92.7    1.0       1.0    2.5     0.0     0.0
14               14    91.5    0.9       1.0    1.2     0.1     0.0
15               15    94.9    1.0       1.0    0.2     0.0     0.0
16               16     0.0    0.0       0.0    0.0     inf     inf
17               17    80.4    0.9       0.9    0.0     0.1     0.1
18               18    62.6    0.8       0.8    0.0     0.3     0.3
acc=0.950601, acc_cls=0.813133, mean_iu=0.743584, fwavacc=0.909028
