Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 981
COST TIME: 147.85414361953735
Dataset name: idd
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    98.4    1.0       1.0   34.5     0.0     0.0
 1                1    81.1    0.9       0.9    0.8     0.1     0.1
 2                2    81.3    0.9       0.9    4.2     0.1     0.1
 3                3    75.3    0.8       0.9    1.8     0.2     0.1
 4                4    50.0    0.6       0.8    0.3     0.7     0.3
 5                5    60.2    0.7       0.8    0.7     0.4     0.3
 6                6    42.6    0.5       0.8    0.0     1.1     0.2
 7                7    79.9    0.9       0.9    0.1     0.2     0.1
 8                8    90.8    1.0       0.9   19.9     0.0     0.1
 9                9    70.3    0.8       0.9    1.9     0.3     0.2
10               10    97.6    1.0       1.0   20.2     0.0     0.0
11               11    74.8    0.8       0.9    0.4     0.2     0.2
12               12    79.7    0.9       0.9    1.0     0.1     0.1
13               13    88.7    1.0       0.9    3.9     0.0     0.1
14               14    87.5    0.9       1.0    3.4     0.1     0.0
15               15    89.7    0.9       0.9    1.6     0.1     0.1
16               16     nan    nan       nan    0.0     nan     nan
17               17    79.9    0.9       0.9    1.1     0.1     0.1
18               18    41.6    0.5       0.8    0.0     1.1     0.3
acc=0.958422, acc_cls=0.828457, mean_iu=0.760718, fwavacc=0.923242
