Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 2000
COST TIME: 437.0114014148712
Dataset name: mapillary
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    89.8    1.0       0.9   23.7     0.0     0.1
 1                1    44.7    0.5       0.8    2.1     1.0     0.2
 2                2    86.1    0.9       0.9   11.1     0.1     0.1
 3                3    41.6    0.7       0.5    0.5     0.5     0.9
 4                4    40.4    0.4       0.8    0.5     1.3     0.2
 5                5    58.1    0.7       0.8    1.0     0.5     0.3
 6                6    51.0    0.5       0.9    0.1     0.8     0.1
 7                7    68.7    0.7       0.9    0.4     0.4     0.1
 8                8    88.6    0.9       0.9   14.3     0.1     0.1
 9                9    53.4    0.8       0.6    0.8     0.3     0.6
10               10    97.8    1.0       1.0   34.5     0.0     0.0
11               11    75.6    0.9       0.8    0.3     0.1     0.2
12               12    59.7    0.8       0.7    0.1     0.3     0.4
13               13    89.9    0.9       1.0    3.2     0.1     0.1
14               14    60.8    0.8       0.7    0.3     0.2     0.4
15               15    56.3    0.8       0.6    0.2     0.2     0.6
16               16     2.5    0.0       1.0    0.0    38.3     0.0
17               17    54.5    0.8       0.7    0.0     0.3     0.5
18               18    53.3    0.6       0.9    0.0     0.7     0.2
acc=0.930886, acc_cls=0.726453, mean_iu=0.617201, fwavacc=0.877785
