Model : DeepLabv3+, Backbone : ResNet-50
output_stride = 16
Start inference...
eval dataset size: 2820
COST TIME: 275.2978756427765
Dataset name: synthia
IoU:
label_id       label    iU    Precision Recall  TP      FP      FN
 0                0    94.7    1.0       1.0   18.4     0.0     0.0
 1                1    93.3    1.0       1.0   19.3     0.0     0.0
 2                2    95.5    1.0       1.0   29.4     0.0     0.0
 3                3    84.8    0.9       0.9    0.2     0.1     0.1
 4                4    75.5    0.9       0.9    0.2     0.2     0.1
 5                5    68.0    0.8       0.9    0.8     0.3     0.2
 6                6    65.0    0.7       0.8    0.0     0.4     0.2
 7                7    58.9    0.7       0.8    0.1     0.5     0.2
 8                8    84.5    0.9       0.9   10.1     0.1     0.1
 9                9     nan    nan       nan    0.0     nan     nan
10               10    96.8    1.0       1.0    7.0     0.0     0.0
11               11    80.1    0.9       0.9    4.0     0.1     0.1
12               12    64.6    0.7       0.8    0.4     0.3     0.2
13               13    90.4    1.0       0.9    4.0     0.1     0.1
14               14     nan    nan       nan    0.0     nan     nan
15               15    92.3    1.0       1.0    1.6     0.0     0.0
16               16     nan    nan       nan    0.0     nan     nan
17               17    69.6    0.8       0.8    0.2     0.2     0.2
18               18    39.6    0.5       0.6    0.1     1.0     0.6
acc=0.957721, acc_cls=0.852173, mean_iu=0.783466, fwavacc=0.920896
